char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q18754954,Silk,Cindy Moon,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3127430,Snowbird,Narya,"demigod or quasi-deity in a work of fiction, comics character",Marvel Universe,,"flight, shapeshifting, superhuman strength, retrocognition",,,,
http://www.wikidata.org/entity/Q546340,Thunderbird,John Proudstar,"television character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1194236,Cannonball,Samuel Zachery Guthrie,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,thermo-chemical energy,,,,
http://www.wikidata.org/entity/Q2087326,Shriek,Frances Louise Barrison,"film character, comics character",Marvel Universe,,sonic scream,,,,
http://www.wikidata.org/entity/Q1429836,Galactus,Galan,"fictional humanoid extraterrestrial, cosmic entity, comics character","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, reality warping, teleportation, immortality, superhuman strength, levitation, force field, healing factor, psychokinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q1779361,Harry Osborn,Harold Theopolis Osborn,"superhero film character, animated character, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1771294,Chris Bradley,Christopher Bradley,"superhero film character, mutant","Earth-616, Marvel Universe",,"technopathy, electrokinesis",,,,
http://www.wikidata.org/entity/Q48412444,Ultimate Magneto,Erik Lensherr,mutant,Marvel Universe,,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q840291,Magneto,Max Eisenhardt,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",Germany,"electromagnetism manipulation, magnetism manipulation",Judaism,male,"teacher, head teacher, ruler, spy, orderly","X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates"
http://www.wikidata.org/entity/Q49262738,Ultimate Angel,Warren Worthington III,mutant,Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q2568977,Vulcan,Gabriel Summers,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor",,,,
http://www.wikidata.org/entity/Q547306,Kitty Pryde,Katherine Anne Pryde,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Deerfield,intangibility,Judaism,female,"teacher, superhero, bartender, aircraft pilot, government agent, circus performer","X-Men, S.H.I.E.L.D., New Mutants, Guardians of the Galaxy, Excalibur"
http://www.wikidata.org/entity/Q996154,Wolfsbane,Rahne Sinclair,"superhero film character, werewolf in a work of fiction, animated character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor",,,,
http://www.wikidata.org/entity/Q737236,Mystique,Raven Darkhölme,"superhero film character, animated character, mutant",Marvel Universe,,shapeshifting,,,,
http://www.wikidata.org/entity/Q48958279,Ultimate Kitty Pryde,Katherine Pryde,mutant,Marvel Universe,,intangibility,,,,
http://www.wikidata.org/entity/Q2604744,Anya Corazon,Anya Sofia Corazon,"mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman strength",,,,
http://www.wikidata.org/entity/Q1149790,Adam X,Adam Neramani,"extraterrestrial–human hybrid in a work of fiction, mutant","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q647105,Banshee,Sean Cassidy,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",County Mayo,sonic scream,Catholicism,male,"superhero, detective, head teacher, barker, criminal","Interpol, X-Men, New York City Police Department, Generation X, Factor Three, X-Corps"
http://www.wikidata.org/entity/Q572626,Rhino,Алексей Михайлович Сицевич,"gamma mutate, film character, animated character, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q944173,Nuke,Frank Simpson,"television character, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q21188808,Ultimate Firestar,Elizabeth Allan,mutant,Marvel Universe,,"pyrokinesis, flight",,,,
http://www.wikidata.org/entity/Q48777057,Elliot Boggs,Elliot Boggs,mutant,Marvel Universe,,reality warping,,,,
http://www.wikidata.org/entity/Q3545629,Ahab,Roderick Campbell,"cyborg in a work of fiction, television character, comics character","Marvel Universe, Earth-811",,"superhuman strength, superhuman durability",,,,
http://www.wikidata.org/entity/Q327553,Daredevil,Matthew Michael Murdock,"superhero film character, television character, animated character, fictional human, mutate","Earth-616, Marvel Universe",New York City,superhuman senses,Catholicism,male,"ninja, lawyer, superhero, martial artist, fictional vigilante","Avengers, Defenders, Marvel Knights"
http://www.wikidata.org/entity/Q1607791,Legion,David Charles Haller,"television character, animated character, mutant",Marvel Universe,,"shapeshifting, reality warping, chronokinesis, pyrokinesis, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q3567749,Whirlwind,David Cannon,"fictional human, mutant",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman speed, aerokinesis",,,,
http://www.wikidata.org/entity/Q2597584,Wild Child,Kyle Gibney,mutant,Marvel Universe,,"superhuman senses, superhuman agility / reflexes, healing factor",,,,
http://www.wikidata.org/entity/Q2737568,Feral,Maria Callasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q59665,Jubilee,Jubilation Lee,"superhero film character, animated character, vampire in Marvel Universe, comics character, mutant",Marvel Universe,,energy blasts,,,,
http://www.wikidata.org/entity/Q3545795,Aero,Melody Guthrie,"comics character, mutant",Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q2320361,Icarus,Joshua Guthrie,mutant,Marvel Universe,,"flight, healing factor",,,,
http://www.wikidata.org/entity/Q2296652,Bishop,Lucas Bishop,"superhero film character, animated character, mutant","Earth-1191, Marvel Universe",,"energy manipulation, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2405949,Captain Britain,Brian Braddock,"mutate, comics character","Earth-616, Marvel Universe",,"flight, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength, precognition",,,,
http://www.wikidata.org/entity/Q770064,Warren Worthington III,Warren Kenneth Worthington III,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, healing factor",,,,
http://www.wikidata.org/entity/Q3316968,Mister Negative,Martin Li,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, mind control, superhuman strength",,,,
http://www.wikidata.org/entity/Q2568013,High Evolutionary,Herbert Edgar Wyndham,"mutate, comics character",Marvel Universe,,"technopathy, clairvoyance, astral projection, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q7880273,Ultimate Wolverine,James Howlett,mutant,Marvel Universe,,"superhuman endurance, superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q920406,Warpath,James Proudstar,"superhero film character, mutant","Earth-616, Marvel Universe",,"flight, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q836748,Ghost Rider,John Blaze,"superhero film character, comics character",Marvel Universe,,"immortality, superhuman strength, pyrokinesis, healing factor",,,,
http://www.wikidata.org/entity/Q5532787,Genesis,Tyler Dayspring,mutant,Marvel Universe,,telepathy,,,,
http://www.wikidata.org/entity/Q1087722,"Morbius, the Living Vampire",Michael Morbius,"superhero film character, vampire in a work of fiction, animated character, mutate",Marvel Universe,,"superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q3547398,Grand Director,William Burnside,"mutate, supersoldier, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q1188309,Spider-Woman,Jessica Miriam Drew,"animated character, fictional human, mutate","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q4003147,Ultimate Cyclops,Scott Summers,mutant,Marvel Universe,,optic blasts,,,,
http://www.wikidata.org/entity/Q1748149,Menace,Lily Hollister,"mutate, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q371692,Blob,Frederick J. Dukes,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,"superhuman strength, superhuman durability",,,,
http://www.wikidata.org/entity/Q578279,Firestar,Angelica Jones,mutant,Marvel Universe,,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q2663986,Aurora,Jeanne-Marie Beaubier,mutant,"Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, photokinesis",,,,
http://www.wikidata.org/entity/Q2186500,Spider-Girl,May Parker,"mutate, comics character",Marvel Universe,,"superhuman speed, superhuman strength",,,,
